id_sala,id_turma,disciplina,n_turma,horario,num_alunos,tipo
13,5445, CONCEPÇÃO ESTRUTURADA DE CIRCUITOS INTEGRADOS ,1,24M23,9,Laboratório
9,5462, SÉRIES TEMPORAIS ,1,24M23,9,Sala
15,5396, ENGENHARIA DE SOFTWARE ,1,24M23,19,Sala
7,5397, INFERÊNCIA ESTATÍSTICA ,1,24M23,21,Sala
21,5439, OTIMIZAÇÃO NÃO,1,24M23,25,Sala
4,5394, SINAIS E SISTEMAS DINÂMICOS ,1,24M23,43,Sala
1,5355, CÁLCULO DIFERENCIAL E INTEGRAL I ,15,24M23,45,Sala
16,5347, CÁLCULO DIFERENCIAL E INTEGRAL I ,14,24M23,50,Sala
5,5361, ESPECIFICACAO DE REQUISITOS DE SOFTWARE ,1,24M23,57,Sala
2,5456, INTRODUÇÃO À COMPUTAÇÃO GRÁFICA ,1,24M23,60,Sala
8,5419, FÍSICA APLICADA À COMPUTAÇÃO I ,1,24M23,90,Sala
9,5366, CONSTRUÇÃO DE COMPILADORES I ,1,24M45,16,Sala
15,5344, SISTEMA DE INFORMAÇÃO E DECISÃO ,2,24M45,18,Sala
13,5381, TEORIA DOS GRAFOS APLICADA ,1,24M45,19,Laboratório
7,5408, ALGEBRA LINEAR COMPUTACIONAL ,1,24M45,19,Sala
21,5423, ELETRONICA APLICADA II ,1,24M45,24,Sala
11,5443, ARQUITETURA DE COMPUTADORES II ,1,24M45,27,Sala
3,5459, MECÂNICA PARA ENGENHARIA DA COMPUTAÇÃO ,1,24M45,32,Sala
22,5378, INTRODUÇÃO A INTELIGÊNCIA ARTIFICIAL ,2,24M45,35,Sala
12,5414, INTRODUÇÃO À CIÊNCIA DE DADOS ,1,24M45,38,Laboratório
19,5446, CIRCUITOS LOGICOS I ,1,24M45,45,Laboratório
4,5390, COMPUTADORES E SOCIEDADE ,1,24M45,53,Sala
1,5375, CÁLCULO DIFERENCIAL E INTEGRAL I ,16,24M45,56,Sala
16,5453, INTRODUÇÃO A PROGRAMAÇÃO PARA ENGENHARIA DE COMPUTAÇÃO ,1,24M45,58,Sala
5,5358, LINGUAGEM DE PROGRAMAÇÃO II ,2,24M45,60,Sala
2,5422, INTRODUÇÃO AO PROCESSAMENTO DIGITAL DE IMAGENS ,1,24M45,60,Sala
9,5450, METÓDOS NUMÉRICOS I ,1,24T23,25,Sala
15,5412, AVALIAÇÃO E DESEMPENHO DE SISTEMAS OPERACIONAIS ,1,24T23,26,Sala
7,5383, TEORIA DAS PROBABILIDADES ,1,24T23,27,Sala
3,5362, FÍSICA APLICADA À COMPUTAÇÃO II ,1,24T23,32,Sala
6,5440, CIRCUITOS LOGICOS II ,1,24T23,36,Laboratório
4,5360, MATEMÁTICA DISCRETA ,1,24T23,40,Sala
1,5461, ARQUITETURA DE COMPUTADORES I ,1,24T23,43,Sala
16,5353, ESTRUTURA DE DADOS ,2,24T23,48,Sala
19,5392, LABORATORIO DE LINGUAGEM DE PROGRAMAÇÃO I ,1,24T23,49,Laboratório
5,5424, PESQUISA OPERACIONAL ,1,24T23,55,Sala
10,5406, LABORATÓRIO DE INTRODUÇÃO A PROGRAMAÇÃO ,1,24T23,57,Laboratório
2,5350, INTRODUCAO A INTELIGENCIA ARTIFICIAL ,2,24T23,60,Sala
4,5464, ENGENHARIA DE SOFTWARE ,2,24T45,47,Sala
1,5384, INTROD À ENGENHARIA DE COMPUTAÇÃO ,1,24T45,53,Sala
16,5417, CÁLCULO DIFERENCIAL E INTEGRAL III ,10,24T45,59,Sala
5,5379, CÁLCULO DIFERENCIAL E INTEGRAL II ,15,24T45,65,Sala
2,5434, CÁLCULO DIFERENCIAL E INTEGRAL II ,14,24T45,65,Sala
9,5410,SISTEMAS EMBARCADOS APLICADOS,1,35M23,11,Sala
15,5451, REDES SEM FIO ,1,35M23,24,Sala
6,5368, VISUALIZAÇÃO DE DADOS ,1,35M23,25,Laboratório
11,5425, ELETRICIDADE E CIRCUITOS PARA COMPUTAÇÃO I ,1,35M23,30,Sala
4,5346,MODELOS PROBABILÍSTICOS PARA A COMPUTAÇÃO,1,35M23,43,Sala
1,5435, CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA ,14,35M23,45,Sala
19,5447, LINGUAGEM DE PROGRAMAÇÃO I ,1,35M23,47,Laboratório
16,5398, ELETRICIDADE E CIRCUITOS PARA COMPUTAÇÃO II ,1,35M23,48,Sala
5,5380, SÉRIES E EQUAÇÕES DIFERENCIAIS ORDINÁRIAS ,8,35M23,50,Sala
2,5428, ESTRUTURA DE DADOS ,1,35M23,52,Sala
14,5352, REDES DE COMPUTADORES I ,1,35M23,56,Sala
17,5420, ESTRUTURA DE DADOS ,3,35M23,60,Sala
13,5413,TÓPICOS ESPECIAIS I,1,35M45,6,Laboratório
9,5448, MÉTODOS MATEMÁTICOS I ,1,35M45,9,Sala
20,5444, MICROCONTROLADORES ,1,35M45,12,Laboratório
15,5393, CÁLCULO  DAS PROBABILIDADES I ,1,35M45,13,Sala
7,5371, SISTEMAS E CONTROLE DE AUTOMAÇÃO ,1,35M45,16,Sala
6,5376, PROCESSAMENTO DE LINGUAGEM NATURAL ,2,35M45,21,Laboratório
21,5463, EQUAÇÕES DIFERENCIAIS ORDINÁRIAS ,1,35M45,26,Sala
3,5377, INTRODUCAO A INTELIGENCIA ARTIFICIAL ,1,35M45,34,Sala
18,5415, PROGRAMAÇÃO ORIENTADA A OBJETOS ,1,35M45,35,Laboratório
4,5430, ARQUITETURA DE COMPUTADORES ,1,35M45,42,Sala
1,5421, CALCULO NUMERICO ,1,35M45,43,Sala
16,5458, LINGUAGEM DE PROGRAMAÇÃO I ,1,35M45,49,Sala
5,5399, INTRODUCAO AO COMPUTADOR ,2,35M45,50,Sala
2,5357, INTRODUCAO AO COMPUTADOR ,1,35M45,55,Sala
14,5367, TEORIA DA COMPUTAÇÃO ,1,35M45,55,Sala
17,5370, PARADIGMAS DE LING DE PROGRAMAÇÃO ,1,35M45,57,Sala
23,5374, INTRODUÇÃO À TEORIA DA INFORMAÇÃO ,1,35M45,59,Sala
8,5348, INTRODUÇÃO À ÁLGEBRA LINEAR ,12,35M45,60,Sala
9,5365, SISTEMAS EMBARCADOS I ,1,35T23,7,Sala
15,5432, INTRODUÇÃO À MICROELETRÔNICA ,1,35T23,21,Sala
7,5449, ROBOTICA ,2,35T23,21,Sala
21,5405, APRENDIZAGEM DE MÁQUINA ,1,35T23,28,Sala
11,5411, ELETRONICA APLICADA I ,1,35T23,28,Sala
6,5416, TOP ESPECIAIS EM ENG DE SOFTWARE ,1,35T23,29,Laboratório
18,5363, PROGRAMAÇÃO ESTRUTURADA ,1,35T23,32,Laboratório
4,5372, SISTEMAS OPERACIONAIS I ,1,35T23,48,Sala
1,5382, CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA ,16,35T23,50,Sala
19,5442, ORDENACAO E RECUPERACAO DE DADOS ,1,35T23,51,Laboratório
16,5354, CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA ,15,35T23,53,Sala
5,5426, INTERAÇÃO HOMEM MÁQUINA ,1,35T23,58,Sala
14,5455, LÓGICA APLICADA À COMPUTAÇÃO ,2,35T23,70,Sala
9,5391, APRENDIZADO PROFUNDO ,2,35T45,10,Sala
11,5388, ELETRICIDADE E CIRCUITOS PARA COMPUTAÇÃO I ,2,35T45,30,Sala
3,5418, LINGUAGENS FORMAIS E AUTÔMATOS ,1,35T45,38,Sala
10,5403, METODOS DE PROJETO DE SOFTWARE ,1,35T45,55,Laboratório
5,5356, INTRODUÇÃO À ÁLGEBRA LINEAR ,13,35T45,65,Sala
14,5437, ANÁLISE E PROJETO DE ALGORITMOS ,1,35T45,70,Sala
9,5341,PESQUISA OPERACIONAL,1,24T45,3,Sala
15,5351, ANÁLISE MULTIVARIADA E APRENDIZAGEM NÃO SUPERVISIONADO ,1,24T45,7,Sala
15,5359, ANÁLISE MULTIVARIADA E APRENDIZAGEM NÃO SUPERVISIONADO ,1,35T45,7,Sala
21,5385,INTRODUÇÃO À FILOSOFIA,5,24T23,10,Sala
7,5369, INTRODUÇÃO À FILOSOFIA ,6,24T45,10,Sala
21,5387,ESTRUTURA DE DADOS E COMPLEXIDADE DE ALGORITMOS,1,24T45,11,Sala
7,5409,ESTRUTURA DE DADOS E COMPLEXIDADE DE ALGORITMOS,1,35M23,11,Sala
20,5364,APRENDIZAGEM DE MÁQUINA,1,24M23,12,Laboratório
21,5389, ADMINISTRACAO DE SISTEMAS DE INFORMACAO ,1,35M23,15,Sala
7,5427,SEMINÁRIOS,1,35T45,16,Sala
21,5436, TÓPICOS ESPECIAIS EM INTERAÇÃO HOMEM,1,35T45,20,Sala
11,5373, PESQUISA APLICADA À CIÊNCIA DE DADOS ,1,24M23,21,Sala
22,5345, ADMINISTRAÇÃO DE EMPRESAS ,4,24M23,23,Sala
11,5452, INTRODUÇÃO À MECÂNICA DOS FLUÍDOS ,1,24T23,28,Sala
22,5395, COMPUTADORES E SOCIEDADE ,1,24T23,29,Sala
11,5349,TOPICOS ESPEC EM COMPUTACAO / EMPREENDEDORISMO,1,24T45,30,Sala
3,5342, FÍSICA EXPERIMENTAL PARA COMPUTAÇÃO ,3,24M23,40,Sala
4,5429, METODOLOGIA DO TRABALHO CIENTIFICO ,3,35T45,41,Sala
1,5386, METODOLOGIA DO TRABALHO CIENTIFICO ,1,35T45,42,Sala
16,5404, PESQUISA APLICADA A COMPUTACAO ,3,35T45,43,Sala
19,5400, INTRODUÇÃO A PROGRAMAÇÃO ,6,24M23,45,Laboratório
19,5433, INTRODUÇÃO A PROGRAMAÇÃO ,6,24T45,45,Laboratório
2,5431, PESQUISA APLICADA A COMPUTACAO ,1,35T23,50,Sala
19,5441, CIRCUITOS LÓGICOS ,1,35M45,51,Laboratório
2,5460, MATERIAIS PARA MICRO E NANO TECNOLOGIA ,1,35T45,55,Sala
14,5343, METODOLOGIA DO TRABALHO CIENTIFICO ,2,24M23,57,Sala
17,5401, LINGUAGEM DE PROGRAMAÇÃO II ,1,24M23,60,Sala
10,5402, INTRODUÇÃO A PROGRAMAÇÃO ,5,24M23,60,Laboratório
23,5438, LINGUAGEM DE PROGRAMAÇÃO II ,1,24M23,60,Sala
10,5457, INTRODUÇÃO A PROGRAMAÇÃO ,5,24M45,60,Laboratório
14,5407, BANCO DE DADOS I ,1,24M45,66,Sala
17,5454, BANCO DE DADOS I ,1,24M45,66,Sala